"Notes"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"State"	"State Code"	"County"	"County Code"	Population
	"2011"	"2011"	"Alabama"	"01"	"Autauga County, AL"	"01001"	55229
	"2011"	"2011"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	186579
	"2011"	"2011"	"Alabama"	"01"	"Barbour County, AL"	"01005"	27344
	"2011"	"2011"	"Alabama"	"01"	"Bibb County, AL"	"01007"	22736
	"2011"	"2011"	"Alabama"	"01"	"Blount County, AL"	"01009"	57561
	"2011"	"2011"	"Alabama"	"01"	"Bullock County, AL"	"01011"	10680
	"2011"	"2011"	"Alabama"	"01"	"Butler County, AL"	"01013"	20867
	"2011"	"2011"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	117767
	"2011"	"2011"	"Alabama"	"01"	"Chambers County, AL"	"01017"	34016
	"2011"	"2011"	"Alabama"	"01"	"Cherokee County, AL"	"01019"	25993
	"2011"	"2011"	"Alabama"	"01"	"Chilton County, AL"	"01021"	43682
	"2011"	"2011"	"Alabama"	"01"	"Choctaw County, AL"	"01023"	13608
	"2011"	"2011"	"Alabama"	"01"	"Clarke County, AL"	"01025"	25589
	"2011"	"2011"	"Alabama"	"01"	"Clay County, AL"	"01027"	13687
	"2011"	"2011"	"Alabama"	"01"	"Cleburne County, AL"	"01029"	14928
	"2011"	"2011"	"Alabama"	"01"	"Coffee County, AL"	"01031"	50449
	"2011"	"2011"	"Alabama"	"01"	"Colbert County, AL"	"01033"	54545
	"2011"	"2011"	"Alabama"	"01"	"Conecuh County, AL"	"01035"	13194
	"2011"	"2011"	"Alabama"	"01"	"Coosa County, AL"	"01037"	11483
	"2011"	"2011"	"Alabama"	"01"	"Covington County, AL"	"01039"	38023
	"2011"	"2011"	"Alabama"	"01"	"Crenshaw County, AL"	"01041"	13894
	"2011"	"2011"	"Alabama"	"01"	"Cullman County, AL"	"01043"	80419
	"2011"	"2011"	"Alabama"	"01"	"Dale County, AL"	"01045"	50134
	"2011"	"2011"	"Alabama"	"01"	"Dallas County, AL"	"01047"	43254
	"2011"	"2011"	"Alabama"	"01"	"DeKalb County, AL"	"01049"	71335
	"2011"	"2011"	"Alabama"	"01"	"Elmore County, AL"	"01051"	80005
	"2011"	"2011"	"Alabama"	"01"	"Escambia County, AL"	"01053"	38211
	"2011"	"2011"	"Alabama"	"01"	"Etowah County, AL"	"01055"	104356
	"2011"	"2011"	"Alabama"	"01"	"Fayette County, AL"	"01057"	17061
	"2011"	"2011"	"Alabama"	"01"	"Franklin County, AL"	"01059"	31776
	"2011"	"2011"	"Alabama"	"01"	"Geneva County, AL"	"01061"	26758
	"2011"	"2011"	"Alabama"	"01"	"Greene County, AL"	"01063"	8903
	"2011"	"2011"	"Alabama"	"01"	"Hale County, AL"	"01065"	15360
	"2011"	"2011"	"Alabama"	"01"	"Henry County, AL"	"01067"	17377
	"2011"	"2011"	"Alabama"	"01"	"Houston County, AL"	"01069"	102509
	"2011"	"2011"	"Alabama"	"01"	"Jackson County, AL"	"01071"	53240
	"2011"	"2011"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	658175
	"2011"	"2011"	"Alabama"	"01"	"Lamar County, AL"	"01075"	14292
	"2011"	"2011"	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	92615
