state,name,MME,transaction_year,fips
GA,richmond,55666684.05,2019-01-01,13245
GA,coweta,42984720.165,2019-01-01,13077
GA,clarke,71141071.9575,2019-01-01,13059
GA,whitfield,32778094.8075,2019-01-01,13313
GA,cobb,180051604.1643,2019-01-01,13067
GA,henry,55474077.4275,2019-01-01,13151
GA,coffee,28278194.235,2019-01-01,13069
GA,jefferson,4050580.3725,2019-01-01,13163
GA,bartow,45331565.7639,2019-01-01,13015
GA,hall,66965712.2625,2019-01-01,13139
GA,jones,5443197.3471,2019-01-01,13169
GA,gwinnett,148246478.4075,2019-01-01,13135
GA,douglas,53409197.04,2019-01-01,13097
GA,mitchell,7059216.465,2019-01-01,13205
GA,lanier,3044661.642,2019-01-01,13173
GA,fulton,163346760.4419,2019-01-01,13121
GA,bibb,71378682.2325,2019-01-01,13021
GA,liberty,7251459.2775,2019-01-01,13179
GA,walker,11419574.2275,2019-01-01,13295
GA,fannin,15733909.6875,2019-01-01,13111
GA,catoosa,20048871.165,2019-01-01,13047
GA,columbia,39210418.6725,2019-01-01,13073
GA,jasper,3189140.9625,2019-01-01,13159
GA,dekalb,99444556.5714,2019-01-01,13089
GA,stewart,1098148.38,2019-01-01,13259
GA,crisp,15575933.7675,2019-01-01,13081
GA,lee,3458915.355,2019-01-01,13177
GA,murray,13424949.0825,2019-01-01,13213
GA,lowndes,38377942.5159,2019-01-01,13185
GA,chatham,66072189.2565,2019-01-01,13051
GA,long,763824.8625,2019-01-01,13183
GA,ware,23971553.085,2019-01-01,13299
GA,brantley,3965282.1975,2019-01-01,13025
GA,franklin,17049745.14,2019-01-01,13119
GA,rockdale,47797636.1475,2019-01-01,13247
GA,fayette,30898453.9689,2019-01-01,13113
GA,stephens,24245798.5575,2019-01-01,13257
GA,habersham,16527355.38,2019-01-01,13137
GA,madison,13415353.74,2019-01-01,13195
GA,wayne,11056711.32,2019-01-01,13305
GA,sumter,8632822.62,2019-01-01,13261
GA,jeffdavis,7564177.65,2019-01-01,13161
GA,worth,4649583.8175,2019-01-01,13321
GA,bacon,12829813.1775,2019-01-01,13005
GA,colquitt,12403630.1712,2019-01-01,13071
GA,floyd,46381436.25,2019-01-01,13115
GA,thomas,12877909.425,2019-01-01,13275
GA,grady,5152843.845,2019-01-01,13131
GA,heard,1557546.96,2019-01-01,13149
GA,clayton,39507777.4653,2019-01-01,13063
GA,carroll,57237293.0601,2019-01-01,13045
GA,miller,1599130.875,2019-01-01,13201
GA,turner,2851979.775,2019-01-01,13287
GA,white,10974952.8225,2019-01-01,13311
GA,cherokee,57443803.4625,2019-01-01,13057
GA,wilkes,4132658.985,2019-01-01,13317
GA,laurens,15587693.895,2019-01-01,13175
GA,wilcox,2825931.4875,2019-01-01,13315
GA,greene,7191987.135,2019-01-01,13133
GA,muscogee,49604699.5125,2019-01-01,13215
GA,bulloch,17817023.2125,2019-01-01,13031
GA,johnson,1551826.02,2019-01-01,13167
GA,banks,5246802.7875,2019-01-01,13011
GA,houston,41020454.76,2019-01-01,13153
GA,upson,12967475.2275,2019-01-01,13293
GA,polk,22925542.665,2019-01-01,13233
GA,morgan,5872194.39,2019-01-01,13211
GA,putnam,4554211.95,2019-01-01,13237
GA,atkinson,2755959.075,2019-01-01,13003
GA,dougherty,20693821.485,2019-01-01,13095
GA,hancock,1012410.9075,2019-01-01,13141
GA,camden,11267814.2925,2019-01-01,13039
GA,rabun,10557166.11,2019-01-01,13241
GA,terrell,1353883.0875,2019-01-01,13273
GA,effingham,11982370.6875,2019-01-01,13103
GA,early,2524832.1375,2019-01-01,13099
GA,tattnall,8272827.7125,2019-01-01,13267
GA,decatur,9691904.1825,2019-01-01,13087
GA,brooks,7384310.4825,2019-01-01,13027
GA,glynn,16389935.706,2019-01-01,13127
GA,gordon,20581009.095,2019-01-01,13129
GA,dooly,1510893.975,2019-01-01,13093
GA,clinch,3815517.705,2019-01-01,13065
GA,appling,5621414.865,2019-01-01,13001
GA,haralson,23629636.365,2019-01-01,13143
GA,barrow,25436084.91,2019-01-01,13013
GA,washington,4106363.34,2019-01-01,13303
GA,chattooga,10934352.855,2019-01-01,13055
GA,jenkins,2991325.95,2019-01-01,13165
GA,oconee,10582986.6075,2019-01-01,13219
GA,newton,27517078.26,2019-01-01,13217
GA,pickens,16457481.9975,2019-01-01,13227
GA,tift,19448502.435,2019-01-01,13277
GA,macon,2915193.945,2019-01-01,13193
GA,taylor,2395496.025,2019-01-01,13269
GA,spalding,33698993.8239,2019-01-01,13255
GA,walton,30300122.28,2019-01-01,13297
GA,evans,4971020.0025,2019-01-01,13109
GA,candler,5102926.3125,2019-01-01,13043
GA,screven,3550705.1175,2019-01-01,13251
GA,forsyth,43329354.06,2019-01-01,13117
GA,mcduffie,7918577.0625,2019-01-01,13189
GA,meriwether,7862186.7375,2019-01-01,13199
GA,irwin,2018341.8375,2019-01-01,13155
GA,jackson,37407050.445,2019-01-01,13157
