Year,County Code,County,State,Deaths
2003,10001,"Kent County, DE",DE,10.0
2003,10003,"New Castle County, DE",DE,54.0
2003,1003,"Baldwin County, AL",AL,10.0
2003,1073,"Jefferson County, AL",AL,69.0
2003,1097,"Mobile County, AL",AL,26.0
2003,11001,"District of Columbia, DC",DC,106.0
2003,12001,"Alachua County, FL",FL,11.0
2003,12005,"Bay County, FL",FL,21.0
2003,12009,"Brevard County, FL",FL,97.0
2003,12011,"Broward County, FL",FL,230.0
2003,12017,"Citrus County, FL",FL,16.0
2003,12019,"Clay County, FL",FL,16.0
2003,12021,"Collier County, FL",FL,29.0
2003,12031,"Duval County, FL",FL,127.0
2003,12033,"Escambia County, FL",FL,27.0
2003,12053,"Hernando County, FL",FL,15.0
2003,12055,"Highlands County, FL",FL,10.0
2003,12057,"Hillsborough County, FL",FL,138.0
2003,12061,"Indian River County, FL",FL,10.0
2003,12069,"Lake County, FL",FL,17.0
2003,12071,"Lee County, FL",FL,77.0
2003,12073,"Leon County, FL",FL,11.0
2003,12081,"Manatee County, FL",FL,42.0
2003,12083,"Marion County, FL",FL,43.0
2003,12085,"Martin County, FL",FL,15.0
2003,12086,"Miami-Dade County, FL",FL,111.0
2003,12087,"Monroe County, FL",FL,17.0
2003,12091,"Okaloosa County, FL",FL,20.0
2003,12095,"Orange County, FL",FL,83.0
2003,12097,"Osceola County, FL",FL,12.0
2003,12099,"Palm Beach County, FL",FL,199.0
2003,12101,"Pasco County, FL",FL,62.0
2003,12103,"Pinellas County, FL",FL,135.0
2003,12105,"Polk County, FL",FL,42.0
2003,12111,"St. Lucie County, FL",FL,21.0
2003,12113,"Santa Rosa County, FL",FL,21.0
2003,12115,"Sarasota County, FL",FL,62.0
2003,12117,"Seminole County, FL",FL,33.0
2003,12127,"Volusia County, FL",FL,48.0
2003,13021,"Bibb County, GA",GA,13.0
2003,13057,"Cherokee County, GA",GA,13.0
2003,13063,"Clayton County, GA",GA,18.0
2003,13067,"Cobb County, GA",GA,34.0
2003,13089,"DeKalb County, GA",GA,39.0
2003,13121,"Fulton County, GA",GA,75.0
2003,13135,"Gwinnett County, GA",GA,21.0
2003,13215,"Muscogee County, GA",GA,13.0
2003,13245,"Richmond County, GA",GA,14.0
2003,13247,"Rockdale County, GA",GA,11.0
2003,15001,"Hawaii County, HI",HI,11.0
2003,15003,"Honolulu County, HI",HI,62.0
2003,16001,"Ada County, ID",ID,17.0
2003,17031,"Cook County, IL",IL,454.0
2003,17043,"DuPage County, IL",IL,48.0
2003,17097,"Lake County, IL",IL,37.0
2003,17111,"McHenry County, IL",IL,13.0
2003,17113,"McLean County, IL",IL,10.0
2003,17119,"Madison County, IL",IL,13.0
2003,17197,"Will County, IL",IL,26.0
2003,17201,"Winnebago County, IL",IL,25.0
2003,18019,"Clark County, IN",IN,20.0
2003,18035,"Delaware County, IN",IN,18.0
2003,18089,"Lake County, IN",IN,29.0
2003,18095,"Madison County, IN",IN,21.0
2003,18097,"Marion County, IN",IN,74.0
2003,18163,"Vanderburgh County, IN",IN,15.0
2003,19153,"Polk County, IA",IA,13.0
2003,20091,"Johnson County, KS",KS,28.0
2003,20173,"Sedgwick County, KS",KS,46.0
2003,21013,"Bell County, KY",KY,15.0
2003,21015,"Boone County, KY",KY,11.0
2003,21037,"Campbell County, KY",KY,13.0
2003,21067,"Fayette County, KY",KY,30.0
2003,21071,"Floyd County, KY",KY,11.0
2003,21095,"Harlan County, KY",KY,13.0
2003,21111,"Jefferson County, KY",KY,88.0
2003,21117,"Kenton County, KY",KY,31.0
2003,21151,"Madison County, KY",KY,12.0
2003,21193,"Perry County, KY",KY,12.0
2003,21195,"Pike County, KY",KY,19.0
2003,21227,"Warren County, KY",KY,10.0
2003,21235,"Whitley County, KY",KY,11.0
2003,22001,"Acadia Parish, LA",LA,11.0
2003,22005,"Ascension Parish, LA",LA,11.0
2003,22015,"Bossier Parish, LA",LA,16.0
2003,22017,"Caddo Parish, LA",LA,22.0
2003,22019,"Calcasieu Parish, LA",LA,25.0
2003,22033,"East Baton Rouge Parish, LA",LA,22.0
2003,22051,"Jefferson Parish, LA",LA,86.0
2003,22055,"Lafayette Parish, LA",LA,24.0
2003,22063,"Livingston Parish, LA",LA,23.0
2003,22071,"Orleans Parish, LA",LA,65.0
2003,22087,"St. Bernard Parish, LA",LA,29.0
2003,22097,"St. Landry Parish, LA",LA,10.0
2003,22103,"St. Tammany Parish, LA",LA,40.0
2003,22109,"Terrebonne Parish, LA",LA,19.0
2003,23005,"Cumberland County, ME",ME,26.0
2003,23019,"Penobscot County, ME",ME,15.0
2003,23031,"York County, ME",ME,16.0
2003,24001,"Allegany County, MD",MD,15.0
2003,24003,"Anne Arundel County, MD",MD,41.0
2003,24005,"Baltimore County, MD",MD,157.0
2003,24013,"Carroll County, MD",MD,23.0
2003,24015,"Cecil County, MD",MD,13.0
2003,24021,"Frederick County, MD",MD,10.0
2003,24025,"Harford County, MD",MD,37.0
2003,24027,"Howard County, MD",MD,17.0
2003,24031,"Montgomery County, MD",MD,28.0
2003,24033,"Prince George's County, MD",MD,62.0
2003,2451,"Baltimore city, MD",MD,273.0
2003,25001,"Barnstable County, MA",MA,21.0
2003,25005,"Bristol County, MA",MA,110.0
2003,25009,"Essex County, MA",MA,99.0
2003,25013,"Hampden County, MA",MA,50.0
2003,25015,"Hampshire County, MA",MA,10.0
2003,25017,"Middlesex County, MA",MA,161.0
2003,25021,"Norfolk County, MA",MA,41.0
2003,25023,"Plymouth County, MA",MA,48.0
2003,25025,"Suffolk County, MA",MA,129.0
2003,25027,"Worcester County, MA",MA,92.0
2003,26025,"Calhoun County, MI",MI,15.0
2003,26049,"Genesee County, MI",MI,34.0
2003,26065,"Ingham County, MI",MI,14.0
2003,26077,"Kalamazoo County, MI",MI,11.0
2003,26081,"Kent County, MI",MI,31.0
2003,26099,"Macomb County, MI",MI,106.0
2003,26121,"Muskegon County, MI",MI,12.0
2003,26125,"Oakland County, MI",MI,113.0
2003,26145,"Saginaw County, MI",MI,16.0
2003,26147,"St. Clair County, MI",MI,11.0
2003,26161,"Washtenaw County, MI",MI,15.0
2003,26163,"Wayne County, MI",MI,343.0
2003,27003,"Anoka County, MN",MN,11.0
2003,27053,"Hennepin County, MN",MN,82.0
2003,27123,"Ramsey County, MN",MN,25.0
2003,27137,"St. Louis County, MN",MN,15.0
2003,28045,"Hancock County, MS",MS,11.0
2003,28047,"Harrison County, MS",MS,29.0
2003,28059,"Jackson County, MS",MS,23.0
2003,29019,"Boone County, MO",MO,11.0
2003,29047,"Clay County, MO",MO,20.0
2003,29077,"Greene County, MO",MO,40.0
2003,29095,"Jackson County, MO",MO,48.0
2003,29099,"Jefferson County, MO",MO,13.0
2003,29183,"St. Charles County, MO",MO,12.0
2003,29187,"St. Francois County, MO",MO,12.0
2003,29189,"St. Louis County, MO",MO,70.0
2003,2951,"St. Louis city, MO",MO,49.0
2003,30063,"Missoula County, MT",MT,11.0
2003,30111,"Yellowstone County, MT",MT,11.0
2003,32003,"Clark County, NV",NV,247.0
2003,32031,"Washoe County, NV",NV,59.0
2003,33011,"Hillsborough County, NH",NH,23.0
2003,33013,"Merrimack County, NH",NH,14.0
2003,33015,"Rockingham County, NH",NH,19.0
2003,33017,"Strafford County, NH",NH,12.0
2003,34001,"Atlantic County, NJ",NJ,34.0
2003,34003,"Bergen County, NJ",NJ,55.0
2003,34005,"Burlington County, NJ",NJ,26.0
2003,34007,"Camden County, NJ",NJ,49.0
2003,34011,"Cumberland County, NJ",NJ,14.0
2003,34013,"Essex County, NJ",NJ,108.0
2003,34015,"Gloucester County, NJ",NJ,25.0
2003,34017,"Hudson County, NJ",NJ,47.0
2003,34021,"Mercer County, NJ",NJ,15.0
2003,34023,"Middlesex County, NJ",NJ,55.0
2003,34025,"Monmouth County, NJ",NJ,52.0
2003,34027,"Morris County, NJ",NJ,30.0
2003,34029,"Ocean County, NJ",NJ,34.0
2003,34031,"Passaic County, NJ",NJ,28.0
2003,34035,"Somerset County, NJ",NJ,18.0
2003,34037,"Sussex County, NJ",NJ,13.0
2003,34039,"Union County, NJ",NJ,39.0
2003,34041,"Warren County, NJ",NJ,10.0
2003,35001,"Bernalillo County, NM",NM,144.0
2003,35005,"Chaves County, NM",NM,18.0
2003,35013,"Dona Ana County, NM",NM,19.0
2003,35039,"Rio Arriba County, NM",NM,12.0
2003,35043,"Sandoval County, NM",NM,11.0
2003,35045,"San Juan County, NM",NM,12.0
2003,35049,"Santa Fe County, NM",NM,24.0
2003,35061,"Valencia County, NM",NM,17.0
2003,36005,"Bronx County, NY",NY,192.0
2003,36047,"Kings County, NY",NY,249.0
2003,36059,"Nassau County, NY",NY,32.0
2003,36061,"New York County, NY",NY,232.0
2003,36067,"Onondaga County, NY",NY,10.0
2003,36081,"Queens County, NY",NY,171.0
2003,36085,"Richmond County, NY",NY,26.0
2003,36103,"Suffolk County, NY",NY,22.0
2003,36119,"Westchester County, NY",NY,15.0
2003,37019,"Brunswick County, NC",NC,10.0
2003,37021,"Buncombe County, NC",NC,22.0
2003,37023,"Burke County, NC",NC,10.0
2003,37035,"Catawba County, NC",NC,17.0
2003,37045,"Cleveland County, NC",NC,12.0
2003,37051,"Cumberland County, NC",NC,13.0
2003,37057,"Davidson County, NC",NC,18.0
2003,37063,"Durham County, NC",NC,14.0
2003,37067,"Forsyth County, NC",NC,20.0
2003,37071,"Gaston County, NC",NC,29.0
2003,37081,"Guilford County, NC",NC,29.0
2003,37089,"Henderson County, NC",NC,13.0
2003,37097,"Iredell County, NC",NC,12.0
2003,37119,"Mecklenburg County, NC",NC,38.0
2003,37129,"New Hanover County, NC",NC,20.0
2003,37147,"Pitt County, NC",NC,11.0
2003,37157,"Rockingham County, NC",NC,11.0
2003,37159,"Rowan County, NC",NC,10.0
2003,37161,"Rutherford County, NC",NC,10.0
2003,37183,"Wake County, NC",NC,41.0
2003,37193,"Wilkes County, NC",NC,15.0
2003,39017,"Butler County, OH",OH,41.0
2003,39023,"Clark County, OH",OH,11.0
2003,39025,"Clermont County, OH",OH,11.0
2003,39035,"Cuyahoga County, OH",OH,99.0
2003,39049,"Franklin County, OH",OH,74.0
2003,39057,"Greene County, OH",OH,15.0
2003,39061,"Hamilton County, OH",OH,73.0
2003,39081,"Jefferson County, OH",OH,11.0
2003,39089,"Licking County, OH",OH,11.0
2003,39093,"Lorain County, OH",OH,13.0
2003,39095,"Lucas County, OH",OH,19.0
2003,39099,"Mahoning County, OH",OH,14.0
2003,39113,"Montgomery County, OH",OH,52.0
2003,39151,"Stark County, OH",OH,10.0
2003,39153,"Summit County, OH",OH,48.0
2003,39155,"Trumbull County, OH",OH,20.0
2003,39165,"Warren County, OH",OH,14.0
2003,40027,"Cleveland County, OK",OK,15.0
2003,4003,"Cochise County, AZ",AZ,11.0
2003,4005,"Coconino County, AZ",AZ,11.0
2003,40109,"Oklahoma County, OK",OK,75.0
2003,4013,"Maricopa County, AZ",AZ,415.0
2003,40143,"Tulsa County, OK",OK,100.0
2003,4015,"Mohave County, AZ",AZ,11.0
2003,4019,"Pima County, AZ",AZ,159.0
2003,4021,"Pinal County, AZ",AZ,18.0
2003,4025,"Yavapai County, AZ",AZ,15.0
2003,41005,"Clackamas County, OR",OR,28.0
2003,41019,"Douglas County, OR",OR,10.0
2003,41029,"Jackson County, OR",OR,17.0
2003,41039,"Lane County, OR",OR,18.0
2003,41047,"Marion County, OR",OR,23.0
2003,41051,"Multnomah County, OR",OR,147.0
2003,41067,"Washington County, OR",OR,17.0
2003,42003,"Allegheny County, PA",PA,197.0
2003,42007,"Beaver County, PA",PA,20.0
2003,42009,"Bedford County, PA",PA,11.0
2003,42011,"Berks County, PA",PA,27.0
2003,42013,"Blair County, PA",PA,21.0
2003,42017,"Bucks County, PA",PA,69.0
2003,42019,"Butler County, PA",PA,13.0
2003,42021,"Cambria County, PA",PA,20.0
2003,42029,"Chester County, PA",PA,16.0
2003,42043,"Dauphin County, PA",PA,10.0
2003,42045,"Delaware County, PA",PA,75.0
2003,42049,"Erie County, PA",PA,16.0
2003,42051,"Fayette County, PA",PA,19.0
2003,42069,"Lackawanna County, PA",PA,28.0
2003,42071,"Lancaster County, PA",PA,25.0
2003,42073,"Lawrence County, PA",PA,10.0
2003,42077,"Lehigh County, PA",PA,33.0
2003,42079,"Luzerne County, PA",PA,46.0
2003,42085,"Mercer County, PA",PA,13.0
2003,42089,"Monroe County, PA",PA,17.0
2003,42091,"Montgomery County, PA",PA,67.0
2003,42095,"Northampton County, PA",PA,13.0
2003,42101,"Philadelphia County, PA",PA,297.0
2003,42107,"Schuylkill County, PA",PA,10.0
2003,42111,"Somerset County, PA",PA,10.0
2003,42125,"Washington County, PA",PA,22.0
2003,42129,"Westmoreland County, PA",PA,32.0
2003,42133,"York County, PA",PA,25.0
2003,44003,"Kent County, RI",RI,22.0
2003,44007,"Providence County, RI",RI,81.0
2003,45003,"Aiken County, SC",SC,10.0
2003,45007,"Anderson County, SC",SC,12.0
2003,45019,"Charleston County, SC",SC,16.0
2003,45045,"Greenville County, SC",SC,32.0
2003,45051,"Horry County, SC",SC,36.0
2003,45063,"Lexington County, SC",SC,12.0
2003,45079,"Richland County, SC",SC,26.0
2003,45083,"Spartanburg County, SC",SC,21.0
2003,45091,"York County, SC",SC,10.0
2003,47001,"Anderson County, TN",TN,10.0
2003,47009,"Blount County, TN",TN,14.0
2003,47037,"Davidson County, TN",TN,72.0
2003,47065,"Hamilton County, TN",TN,28.0
2003,47093,"Knox County, TN",TN,74.0
2003,47149,"Rutherford County, TN",TN,14.0
2003,47157,"Shelby County, TN",TN,37.0
2003,47165,"Sumner County, TN",TN,14.0
2003,47189,"Wilson County, TN",TN,12.0
2003,48029,"Bexar County, TX",TX,163.0
2003,48039,"Brazoria County, TX",TX,13.0
2003,48085,"Collin County, TX",TX,26.0
2003,48091,"Comal County, TX",TX,10.0
2003,48113,"Dallas County, TX",TX,199.0
2003,48121,"Denton County, TX",TX,18.0
2003,48135,"Ector County, TX",TX,15.0
2003,48141,"El Paso County, TX",TX,52.0
2003,48157,"Fort Bend County, TX",TX,11.0
2003,48167,"Galveston County, TX",TX,27.0
2003,48201,"Harris County, TX",TX,337.0
2003,48245,"Jefferson County, TX",TX,16.0
2003,48303,"Lubbock County, TX",TX,14.0
2003,48339,"Montgomery County, TX",TX,57.0
2003,48355,"Nueces County, TX",TX,37.0
2003,48361,"Orange County, TX",TX,17.0
2003,48367,"Parker County, TX",TX,13.0
2003,48439,"Tarrant County, TX",TX,151.0
2003,48441,"Taylor County, TX",TX,15.0
2003,48451,"Tom Green County, TX",TX,12.0
2003,48453,"Travis County, TX",TX,89.0
2003,48479,"Webb County, TX",TX,10.0
2003,48485,"Wichita County, TX",TX,16.0
2003,48491,"Williamson County, TX",TX,11.0
2003,49011,"Davis County, UT",UT,21.0
2003,49035,"Salt Lake County, UT",UT,164.0
2003,49049,"Utah County, UT",UT,56.0
2003,49053,"Washington County, UT",UT,11.0
2003,49057,"Weber County, UT",UT,21.0
2003,51041,"Chesterfield County, VA",VA,12.0
2003,51059,"Fairfax County, VA",VA,28.0
2003,51087,"Henrico County, VA",VA,22.0
2003,51153,"Prince William County, VA",VA,13.0
2003,51167,"Russell County, VA",VA,13.0
2003,51185,"Tazewell County, VA",VA,14.0
2003,5119,"Pulaski County, AR",AR,18.0
2003,5155,"Chesapeake city, VA",VA,14.0
2003,517,"Newport News city, VA",VA,10.0
2003,5171,"Norfolk city, VA",VA,10.0
2003,5174,"Portsmouth city, VA",VA,13.0
2003,5176,"Richmond city, VA",VA,30.0
2003,5177,"Roanoke city, VA",VA,13.0
2003,5181,"Virginia Beach city, VA",VA,19.0
2003,53005,"Benton County, WA",WA,10.0
2003,53011,"Clark County, WA",WA,40.0
2003,53033,"King County, WA",WA,205.0
2003,53035,"Kitsap County, WA",WA,23.0
2003,53053,"Pierce County, WA",WA,87.0
2003,53057,"Skagit County, WA",WA,12.0
2003,53061,"Snohomish County, WA",WA,76.0
2003,53063,"Spokane County, WA",WA,74.0
2003,53067,"Thurston County, WA",WA,17.0
2003,53073,"Whatcom County, WA",WA,14.0
2003,53077,"Yakima County, WA",WA,10.0
2003,54003,"Berkeley County, WV",WV,17.0
2003,54011,"Cabell County, WV",WV,19.0
2003,54039,"Kanawha County, WV",WV,27.0
2003,54055,"Mercer County, WV",WV,11.0
2003,54059,"Mingo County, WV",WV,10.0
2003,54081,"Raleigh County, WV",WV,14.0
2003,54109,"Wyoming County, WV",WV,11.0
2003,55025,"Dane County, WI",WI,24.0
2003,55079,"Milwaukee County, WI",WI,154.0
2003,55101,"Racine County, WI",WI,23.0
2003,55133,"Waukesha County, WI",WI,17.0
2003,6001,"Alameda County, CA",CA,124.0
2003,6007,"Butte County, CA",CA,40.0
2003,6013,"Contra Costa County, CA",CA,64.0
2003,6017,"El Dorado County, CA",CA,10.0
2003,6019,"Fresno County, CA",CA,84.0
2003,6023,"Humboldt County, CA",CA,38.0
2003,6029,"Kern County, CA",CA,110.0
2003,6037,"Los Angeles County, CA",CA,862.0
2003,6039,"Madera County, CA",CA,14.0
2003,6041,"Marin County, CA",CA,19.0
2003,6045,"Mendocino County, CA",CA,15.0
2003,6047,"Merced County, CA",CA,18.0
2003,6053,"Monterey County, CA",CA,29.0
2003,6055,"Napa County, CA",CA,13.0
2003,6059,"Orange County, CA",CA,228.0
2003,6061,"Placer County, CA",CA,28.0
2003,6065,"Riverside County, CA",CA,174.0
2003,6067,"Sacramento County, CA",CA,168.0
2003,6071,"San Bernardino County, CA",CA,167.0
2003,6073,"San Diego County, CA",CA,305.0
2003,6075,"San Francisco County, CA",CA,147.0
2003,6077,"San Joaquin County, CA",CA,67.0
2003,6079,"San Luis Obispo County, CA",CA,10.0
2003,6081,"San Mateo County, CA",CA,51.0
2003,6083,"Santa Barbara County, CA",CA,44.0
2003,6085,"Santa Clara County, CA",CA,78.0
2003,6087,"Santa Cruz County, CA",CA,32.0
2003,6089,"Shasta County, CA",CA,31.0
2003,6095,"Solano County, CA",CA,29.0
2003,6097,"Sonoma County, CA",CA,42.0
2003,6099,"Stanislaus County, CA",CA,82.0
2003,6107,"Tulare County, CA",CA,31.0
2003,6111,"Ventura County, CA",CA,87.0
2003,8001,"Adams County, CO",CO,42.0
2003,8005,"Arapahoe County, CO",CO,45.0
2003,8013,"Boulder County, CO",CO,20.0
2003,8031,"Denver County, CO",CO,107.0
2003,8041,"El Paso County, CO",CO,53.0
2003,8059,"Jefferson County, CO",CO,50.0
2003,8069,"Larimer County, CO",CO,23.0
2003,8101,"Pueblo County, CO",CO,10.0
2003,8123,"Weld County, CO",CO,11.0
2003,9001,"Fairfield County, CT",CT,64.0
2003,9003,"Hartford County, CT",CT,90.0
2003,9005,"Litchfield County, CT",CT,12.0
2003,9009,"New Haven County, CT",CT,80.0
2003,9011,"New London County, CT",CT,29.0
2003,9015,"Windham County, CT",CT,14.0
2004,10003,"New Castle County, DE",DE,67.0
2004,10005,"Sussex County, DE",DE,11.0
2004,1003,"Baldwin County, AL",AL,18.0
2004,1073,"Jefferson County, AL",AL,63.0
2004,1089,"Madison County, AL",AL,12.0
2004,1097,"Mobile County, AL",AL,27.0
2004,11001,"District of Columbia, DC",DC,102.0
2004,1101,"Montgomery County, AL",AL,10.0
2004,1103,"Morgan County, AL",AL,11.0
2004,12005,"Bay County, FL",FL,18.0
2004,12009,"Brevard County, FL",FL,111.0
2004,12011,"Broward County, FL",FL,287.0
2004,12015,"Charlotte County, FL",FL,17.0
2004,12017,"Citrus County, FL",FL,12.0
2004,12019,"Clay County, FL",FL,22.0
2004,12021,"Collier County, FL",FL,29.0
2004,12031,"Duval County, FL",FL,109.0
2004,12033,"Escambia County, FL",FL,33.0
2004,12053,"Hernando County, FL",FL,14.0
2004,12057,"Hillsborough County, FL",FL,146.0
2004,12061,"Indian River County, FL",FL,10.0
2004,12069,"Lake County, FL",FL,10.0
2004,12071,"Lee County, FL",FL,98.0
2004,12081,"Manatee County, FL",FL,46.0
2004,12083,"Marion County, FL",FL,18.0
2004,12085,"Martin County, FL",FL,16.0
2004,12086,"Miami-Dade County, FL",FL,145.0
2004,12087,"Monroe County, FL",FL,14.0
2004,12089,"Nassau County, FL",FL,13.0
2004,12091,"Okaloosa County, FL",FL,22.0
2004,12095,"Orange County, FL",FL,97.0
2004,12097,"Osceola County, FL",FL,13.0
2004,12099,"Palm Beach County, FL",FL,209.0
2004,12101,"Pasco County, FL",FL,83.0
2004,12103,"Pinellas County, FL",FL,182.0
2004,12105,"Polk County, FL",FL,62.0
2004,12107,"Putnam County, FL",FL,10.0
2004,12109,"St. Johns County, FL",FL,10.0
2004,12111,"St. Lucie County, FL",FL,27.0
2004,12113,"Santa Rosa County, FL",FL,18.0
2004,12115,"Sarasota County, FL",FL,59.0
2004,12117,"Seminole County, FL",FL,23.0
2004,12127,"Volusia County, FL",FL,74.0
2004,13015,"Bartow County, GA",GA,13.0
