Year,State Code,County,County Code,Population,Deaths,Dosage
1990,OR,"Baker County, OR",41001,15433.0,,0.0
1990,OR,"Benton County, OR",41003,71059.0,,0.0
1990,OR,"Clackamas County, OR",41005,280862.0,,0.0
1990,OR,"Tillamook County, OR",41057,21638.0,,0.0
1990,OR,"Umatilla County, OR",41059,59433.0,,0.0
1990,OR,"Union County, OR",41061,23674.0,,0.0
1990,OR,"Wallowa County, OR",41063,6945.0,,0.0
1990,OR,"Wasco County, OR",41065,21781.0,,0.0
1990,OR,"Washington County, OR",41067,315469.0,,0.0
1990,OR,"Wheeler County, OR",41069,1400.0,,0.0
1990,OR,"Yamhill County, OR",41071,65999.0,,0.0
1990,OR,"Sherman County, OR",41055,1924.0,,0.0
1990,OR,"Polk County, OR",41053,49924.0,,0.0
1990,OR,"Morrow County, OR",41049,7618.0,,0.0
1990,OR,"Clatsop County, OR",41007,33436.0,,0.0
1990,OR,"Columbia County, OR",41009,37809.0,,0.0
1990,OR,"Coos County, OR",41011,60441.0,,0.0
1990,OR,"Crook County, OR",41013,14258.0,,0.0
1990,OR,"Curry County, OR",41015,19449.0,,0.0
1990,OR,"Deschutes County, OR",41017,76053.0,,0.0
1990,OR,"Douglas County, OR",41019,95050.0,,0.0
1990,OR,"Gilliam County, OR",41021,1719.0,,0.0
1990,OR,"Grant County, OR",41023,7870.0,,0.0
1990,OR,"Harney County, OR",41025,7068.0,,0.0
1990,OR,"Hood River County, OR",41027,16960.0,,0.0
1990,OR,"Jackson County, OR",41029,147392.0,,0.0
1990,OR,"Jefferson County, OR",41031,13853.0,,0.0
1990,OR,"Josephine County, OR",41033,62985.0,,0.0
1990,OR,"Klamath County, OR",41035,57948.0,,0.0
1990,OR,"Lake County, OR",41037,7182.0,,0.0
1990,OR,"Lane County, OR",41039,284261.0,,0.0
1990,OR,"Lincoln County, OR",41041,39075.0,,0.0
1990,OR,"Linn County, OR",41043,91690.0,,0.0
1990,OR,"Malheur County, OR",41045,26162.0,,0.0
1990,OR,"Marion County, OR",41047,229938.0,,0.0
1990,OR,"Multnomah County, OR",41051,586617.0,,0.0
1990,TN,"Madison County, TN",47113,78345.0,,0.0
1990,TN,"Marion County, TN",47115,24712.0,,0.0
1990,TN,"Marshall County, TN",47117,21741.0,,0.0
1990,TN,"Maury County, TN",47119,55262.0,,0.0
1990,TN,"Meigs County, TN",47121,8108.0,,0.0
1990,TN,"Monroe County, TN",47123,30650.0,,0.0
1990,TN,"Montgomery County, TN",47125,101682.0,,0.0
1990,TN,"Moore County, TN",47127,4699.0,,0.0
1990,TN,"Morgan County, TN",47129,17358.0,,0.0
1990,TN,"Macon County, TN",47111,15968.0,,0.0
1990,TN,"Obion County, TN",47131,31761.0,,0.0
1990,TN,"Perry County, TN",47135,6629.0,,0.0
1990,TN,"Pickett County, TN",47137,4567.0,,0.0
1990,TN,"Polk County, TN",47139,13694.0,,0.0
1990,TN,"Putnam County, TN",47141,51623.0,,0.0
1990,TN,"Rhea County, TN",47143,24374.0,,0.0
1990,TN,"Roane County, TN",47145,47273.0,,0.0
1990,TN,"Robertson County, TN",47147,41669.0,,0.0
1990,TN,"Rutherford County, TN",47149,119847.0,,0.0
1990,TN,"Scott County, TN",47151,18393.0,,0.0
1990,TN,"Overton County, TN",47133,17672.0,,0.0
1990,TN,"McNairy County, TN",47109,22484.0,,0.0
1990,TN,"McMinn County, TN",47107,42479.0,,0.0
1990,TN,"Loudon County, TN",47105,31389.0,,0.0
1990,TN,"Hamblen County, TN",47063,50696.0,,0.0
1990,TN,"Hamilton County, TN",47065,285919.0,,0.0
1990,TN,"Hancock County, TN",47067,6742.0,,0.0
1990,TN,"Hardeman County, TN",47069,23455.0,,0.0
1990,TN,"Hardin County, TN",47071,22698.0,,0.0
1990,TN,"Hawkins County, TN",47073,44680.0,,0.0
1990,TN,"Haywood County, TN",47075,19424.0,,0.0
1990,TN,"Henderson County, TN",47077,21903.0,,0.0
1990,TN,"Henry County, TN",47079,27945.0,,0.0
1990,TN,"Hickman County, TN",47081,16867.0,,0.0
1990,TN,"Houston County, TN",47083,7007.0,,0.0
1990,TN,"Humphreys County, TN",47085,15816.0,,0.0
1990,TN,"Jackson County, TN",47087,9389.0,,0.0
1990,TN,"Jefferson County, TN",47089,33095.0,,0.0
1990,TN,"Johnson County, TN",47091,13818.0,,0.0
1990,TN,"Knox County, TN",47093,336707.0,,0.0
1990,TN,"Lake County, TN",47095,7111.0,,0.0
1990,TN,"Lauderdale County, TN",47097,23569.0,,0.0
1990,TN,"Lawrence County, TN",47099,35387.0,,0.0
1990,TN,"Lewis County, TN",47101,9303.0,,0.0
1990,TN,"Lincoln County, TN",47103,28208.0,,0.0
1990,TN,"Sequatchie County, TN",47153,8899.0,,0.0
1990,TN,"Grundy County, TN",47061,13399.0,,0.0
1990,TN,"Sevier County, TN",47155,51449.0,,0.0
1990,TN,"Smith County, TN",47159,14183.0,,0.0
1990,TN,"Stewart County, TN",47161,9495.0,,0.0
1990,TN,"Sullivan County, TN",47163,143886.0,,0.0
1990,TN,"Sumner County, TN",47165,103761.0,,0.0
1990,TN,"Tipton County, TN",47167,37900.0,,0.0
1990,TN,"Trousdale County, TN",47169,5937.0,,0.0
1990,TN,"Unicoi County, TN",47171,16542.0,,0.0
1990,TN,"Union County, TN",47173,13758.0,,0.0
1990,TN,"Van Buren County, TN",47175,4865.0,,0.0
1990,TN,"Warren County, TN",47177,33099.0,,0.0
1990,TN,"Washington County, TN",47179,92732.0,,0.0
1990,TN,"Wayne County, TN",47181,13974.0,,0.0
1990,TN,"Weakley County, TN",47183,32071.0,,0.0
1990,TN,"White County, TN",47185,20146.0,,0.0
1990,TN,"Williamson County, TN",47187,81789.0,,0.0
1990,TN,"Wilson County, TN",47189,68019.0,,0.0
1990,TN,"Shelby County, TN",47157,828446.0,,0.0
1990,TN,"Greene County, TN",47059,55990.0,,0.0
1990,TN,"Grainger County, TN",47057,17151.0,,0.0
1990,TN,"Giles County, TN",47055,25803.0,,0.0
1990,TN,"Campbell County, TN",47013,35178.0,,0.0
1990,TN,"Cannon County, TN",47015,10517.0,,0.0
1990,TN,"Carroll County, TN",47017,27574.0,,0.0
1990,TN,"Carter County, TN",47019,51668.0,,0.0
1990,TN,"Cheatham County, TN",47021,27310.0,,0.0
1990,TN,"Chester County, TN",47023,12845.0,,0.0
1990,TN,"Claiborne County, TN",47025,26182.0,,0.0
1990,TN,"Clay County, TN",47027,7244.0,,0.0
1990,TN,"Cocke County, TN",47029,29205.0,,0.0
1990,TN,"Coffee County, TN",47031,40507.0,,0.0
1990,TN,"Crockett County, TN",47033,13392.0,,0.0
1990,TN,"Cumberland County, TN",47035,34997.0,,0.0
1990,TN,"Davidson County, TN",47037,512139.0,,0.0
1990,TN,"Decatur County, TN",47039,10484.0,,0.0
1990,TN,"DeKalb County, TN",47041,14436.0,,0.0
1990,TN,"Dickson County, TN",47043,35255.0,,0.0
1990,TN,"Dyer County, TN",47045,34945.0,,0.0
1990,TN,"Fayette County, TN",47047,25549.0,,0.0
1990,TN,"Fentress County, TN",47049,14637.0,,0.0
1990,TN,"Franklin County, TN",47051,35027.0,,0.0
1990,TN,"Gibson County, TN",47053,46402.0,,0.0
1990,TN,"Bradley County, TN",47011,73990.0,,0.0
1990,TN,"Blount County, TN",47009,86317.0,,0.0
1990,TN,"Benton County, TN",47005,14580.0,,0.0
1990,TN,"Anderson County, TN",47001,68406.0,,0.0
1990,TN,"Bedford County, TN",47003,30583.0,,0.0
1990,TN,"Bledsoe County, TN",47007,9711.0,,0.0
1990,FL,"Washington County, FL",12133,16972.0,,0.0
1990,FL,"Alachua County, FL",12001,182723.0,,0.0
1990,FL,"Baker County, FL",12003,18594.0,,0.0
1990,FL,"Bay County, FL",12005,127323.0,,0.0
1990,FL,"Bradford County, FL",12007,22605.0,,0.0
1990,FL,"Brevard County, FL",12009,403209.0,,0.0
1990,FL,"Broward County, FL",12011,1263301.0,,0.0
1990,FL,"Calhoun County, FL",12013,11044.0,,0.0
1990,FL,"Citrus County, FL",12017,94645.0,,0.0
1990,FL,"Clay County, FL",12019,106752.0,,0.0
1990,FL,"Collier County, FL",12021,154568.0,,0.0
1990,FL,"Columbia County, FL",12023,42861.0,,0.0
1990,FL,"DeSoto County, FL",12027,24094.0,,0.0
1990,FL,"Dixie County, FL",12029,10674.0,,0.0
1990,FL,"Duval County, FL",12031,677746.0,,0.0
1990,FL,"Escambia County, FL",12033,263272.0,,0.0
1990,FL,"Flagler County, FL",12035,29474.0,,0.0
1990,FL,"Charlotte County, FL",12015,112821.0,,0.0
1990,FL,"Franklin County, FL",12037,8978.0,,0.0
1990,FL,"Gadsden County, FL",12039,41267.0,,0.0
1990,FL,"Glades County, FL",12043,7639.0,,0.0
1990,FL,"Okeechobee County, FL",12093,29834.0,,0.0
1990,FL,"Orange County, FL",12095,685768.0,,0.0
1990,FL,"Osceola County, FL",12097,110319.0,,0.0
1990,FL,"Palm Beach County, FL",12099,871560.0,,0.0
1990,FL,"Pasco County, FL",12101,281937.0,,0.0
1990,FL,"Pinellas County, FL",12103,856166.0,,0.0
1990,FL,"Polk County, FL",12105,407756.0,,0.0
1990,FL,"Putnam County, FL",12107,65345.0,,0.0
1990,FL,"St. Johns County, FL",12109,84825.0,,0.0
1990,FL,"Okaloosa County, FL",12091,144453.0,,0.0
1990,FL,"St. Lucie County, FL",12111,152669.0,,0.0
1990,FL,"Sarasota County, FL",12115,279748.0,,0.0
1990,FL,"Seminole County, FL",12117,291169.0,,0.0
1990,FL,"Sumter County, FL",12119,31882.0,,0.0
1990,FL,"Suwannee County, FL",12121,26918.0,,0.0
1990,FL,"Taylor County, FL",12123,17168.0,,0.0
1990,FL,"Union County, FL",12125,10293.0,,0.0
1990,FL,"Volusia County, FL",12127,374200.0,,0.0
