Year,State Code,County,County Code,Population,Deaths,Dosage
1990,MO,"St. Louis city, MO",29510,395857.0,,0.0
1990,MO,"Wright County, MO",29229,16772.0,,0.0
1990,MO,"Worth County, MO",29227,2436.0,,0.0
1990,MO,"Webster County, MO",29225,23794.0,,0.0
1990,MO,"Wayne County, MO",29223,11564.0,,0.0
1990,MO,"Reynolds County, MO",29179,6664.0,,0.0
1990,MO,"Ripley County, MO",29181,12348.0,,0.0
1990,MO,"St. Charles County, MO",29183,214434.0,,0.0
1990,MO,"St. Clair County, MO",29185,8462.0,,0.0
1990,MO,"Ste. Genevieve County, MO",29186,16087.0,,0.0
1990,MO,"St. Francois County, MO",29187,49013.0,,0.0
1990,MO,"St. Louis County, MO",29189,995198.0,,0.0
1990,MO,"Saline County, MO",29195,23499.0,,0.0
1990,MO,"Schuyler County, MO",29197,4242.0,,0.0
1990,MO,"Scotland County, MO",29199,4821.0,,0.0
1990,MO,"Scott County, MO",29201,39424.0,,0.0
1990,MO,"Shannon County, MO",29203,7610.0,,0.0
1990,MO,"Shelby County, MO",29205,6922.0,,0.0
1990,MO,"Stoddard County, MO",29207,28907.0,,0.0
1990,MO,"Stone County, MO",29209,19197.0,,0.0
1990,MO,"Sullivan County, MO",29211,6332.0,,0.0
1990,MO,"Taney County, MO",29213,25773.0,,0.0
1990,MO,"Texas County, MO",29215,21497.0,,0.0
1990,MO,"Vernon County, MO",29217,19050.0,,0.0
1990,MO,"Warren County, MO",29219,19616.0,,0.0
1990,MO,"Washington County, MO",29221,20472.0,,0.0
1990,TX,"Zavala County, TX",48507,12161.0,,0.0
1990,TX,"Zapata County, TX",48505,9339.0,,0.0
1990,TX,"Uvalde County, TX",48463,23320.0,,0.0
1990,TX,"Val Verde County, TX",48465,38562.0,,0.0
1990,TX,"Van Zandt County, TX",48467,38042.0,,0.0
1990,TX,"Victoria County, TX",48469,74604.0,,0.0
1990,TX,"Walker County, TX",48471,51020.0,,0.0
1990,TX,"Waller County, TX",48473,23507.0,,0.0
1990,TX,"Ward County, TX",48475,12976.0,,0.0
1990,TX,"Washington County, TX",48477,26162.0,,0.0
1990,TX,"Webb County, TX",48479,134430.0,,0.0
1990,TX,"Wharton County, TX",48481,39858.0,,0.0
1990,TX,"Wheeler County, TX",48483,5801.0,,0.0
1990,TX,"Wichita County, TX",48485,122323.0,,0.0
1990,TX,"Wilbarger County, TX",48487,15094.0,,0.0
1990,TX,"Willacy County, TX",48489,17699.0,,0.0
1990,TX,"Williamson County, TX",48491,140570.0,,0.0
1990,TX,"Wilson County, TX",48493,22803.0,,0.0
1990,TX,"Winkler County, TX",48495,8566.0,,0.0
1990,TX,"Wise County, TX",48497,34763.0,,0.0
1990,TX,"Wood County, TX",48499,29451.0,,0.0
1990,TX,"Yoakum County, TX",48501,8747.0,,0.0
1990,TX,"Young County, TX",48503,18000.0,,0.0
1990,TX,"Upton County, TX",48461,4379.0,,0.0
1990,MO,"Ray County, MO",29177,22004.0,,0.0
1990,TX,"Upshur County, TX",48459,31364.0,,0.0
1990,TX,"Trinity County, TX",48455,11459.0,,0.0
1990,TX,"Bastrop County, TX",48021,38260.0,,0.0
1990,TX,"Baylor County, TX",48023,4362.0,,0.0
1990,TX,"Bee County, TX",48025,25067.0,,0.0
1990,TX,"Bell County, TX",48027,191654.0,,0.0
1990,TX,"Bexar County, TX",48029,1187775.0,,0.0
1990,TX,"Blanco County, TX",48031,5964.0,,0.0
1990,TX,"Borden County, TX",48033,794.0,,0.0
1990,TX,"Bosque County, TX",48035,15131.0,,0.0
1990,TX,"Bowie County, TX",48037,81992.0,,0.0
1990,TX,"Bandera County, TX",48019,10629.0,,0.0
1990,TX,"Brazoria County, TX",48039,192644.0,,0.0
1990,TX,"Brewster County, TX",48043,8628.0,,0.0
1990,TX,"Briscoe County, TX",48045,1946.0,,0.0
1990,TX,"Brooks County, TX",48047,8175.0,,0.0
1990,TX,"Brown County, TX",48049,34317.0,,0.0
1990,TX,"Burleson County, TX",48051,13633.0,,0.0
1990,TX,"Burnet County, TX",48053,22654.0,,0.0
1990,TX,"Caldwell County, TX",48055,26277.0,,0.0
1990,TX,"Calhoun County, TX",48057,19065.0,,0.0
1990,TX,"Callahan County, TX",48059,11772.0,,0.0
1990,TX,"Brazos County, TX",48041,122352.0,,0.0
1990,TX,"Bailey County, TX",48017,7031.0,,0.0
1990,TX,"Austin County, TX",48015,19891.0,,0.0
1990,TX,"Atascosa County, TX",48013,30554.0,,0.0
1990,TX,"Anderson County, TX",48001,47980.0,,0.0
1990,TX,"Andrews County, TX",48003,14270.0,,0.0
1990,TX,"Angelina County, TX",48005,70037.0,,0.0
1990,TX,"Aransas County, TX",48007,17863.0,,0.0
1990,TX,"Archer County, TX",48009,7980.0,,0.0
1990,TX,"Armstrong County, TX",48011,2018.0,,0.0
1990,TX,"Cameron County, TX",48061,261728.0,,0.0
1990,TX,"Tyler County, TX",48457,16679.0,,0.0
1990,TX,"Camp County, TX",48063,9915.0,,0.0
1990,TX,"Cass County, TX",48067,29972.0,,0.0
1990,TX,"Martin County, TX",48317,4923.0,,0.0
1990,TX,"Mason County, TX",48319,3404.0,,0.0
1990,TX,"Matagorda County, TX",48321,36804.0,,0.0
1990,TX,"Maverick County, TX",48323,36712.0,,0.0
1990,TX,"Medina County, TX",48325,27422.0,,0.0
1990,TX,"Menard County, TX",48327,2224.0,,0.0
1990,TX,"Midland County, TX",48329,106701.0,,0.0
1990,TX,"Milam County, TX",48331,22914.0,,0.0
1990,TX,"Mills County, TX",48333,4519.0,,0.0
1990,TX,"Marion County, TX",48315,9946.0,,0.0
1990,TX,"Mitchell County, TX",48335,7948.0,,0.0
1990,TX,"Montgomery County, TX",48339,184066.0,,0.0
1990,TX,"Moore County, TX",48341,17846.0,,0.0
1990,TX,"Morris County, TX",48343,13108.0,,0.0
1990,TX,"Motley County, TX",48345,1515.0,,0.0
1990,TX,"Nacogdoches County, TX",48347,54882.0,,0.0
1990,TX,"Navarro County, TX",48349,39985.0,,0.0
1990,TX,"Newton County, TX",48351,13545.0,,0.0
1990,TX,"Nolan County, TX",48353,16530.0,,0.0
1990,TX,"Nueces County, TX",48355,291669.0,,0.0
1990,TX,"Montague County, TX",48337,17249.0,,0.0
1990,TX,"Madison County, TX",48313,10920.0,,0.0
1990,TX,"McMullen County, TX",48311,816.0,,0.0
1990,TX,"McLennan County, TX",48309,189736.0,,0.0
1990,TX,"Kimble County, TX",48267,4118.0,,0.0
1990,TX,"King County, TX",48269,354.0,,0.0
1990,TX,"Kinney County, TX",48271,3130.0,,0.0
1990,TX,"Kleberg County, TX",48273,30118.0,,0.0
1990,TX,"Knox County, TX",48275,4849.0,,0.0
1990,TX,"Lamar County, TX",48277,44034.0,,0.0
1990,TX,"Lamb County, TX",48279,15010.0,,0.0
1990,TX,"Lampasas County, TX",48281,13520.0,,0.0
1990,TX,"La Salle County, TX",48283,5272.0,,0.0
1990,TX,"Lavaca County, TX",48285,18640.0,,0.0
1990,TX,"Lee County, TX",48287,12811.0,,0.0
1990,TX,"Leon County, TX",48289,12659.0,,0.0
1990,TX,"Liberty County, TX",48291,52887.0,,0.0
